# SL Parsing Summary Log
# Generated: 2025-09-01 19:04:16
# Timestamp: 20250901_190416
📊 Processing Summary:
   ✅ Processed: 232 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\sl\04_chordpro
# Format: FILENAME | TITLE | ROLES | VERSES | CHORDS
--------------------------------------------------------------------------------
SL - 087 - AMEN - AMEN - AMEN (Raz 7,12-14).chordpro | AMEN - AMEN - AMEN (Raz 7,12-14) | 7 roles | 33 verses | C, D, D7, G, e, h
SL - 088 - ČE GOSPOD NE ZIDA HIŠE - Ps 126 (127).chordpro | ČE GOSPOD NE ZIDA HIŠE - Ps 126 (127) | 8 roles | 17 verses | C, E, F, G, a
SL - 089 - OKUSITE IN SPOZNAJTE - Ps 33 (34).chordpro | OKUSITE IN SPOZNAJTE - Ps 33 (34) | 6 roles | 16 verses | C, C7, H7, a, e
SL - 090 - IZ LJUBEZNI DO SVOJIH BRATOV - PS 121 (122).chordpro | IZ LJUBEZNI DO SVOJIH BRATOV - PS 121 (122) | 10 roles | 24 verses | H7, a, e
SL - 091 - UPAL, UPAL SEM V GOSPODA - Ps 39 (40).chordpro | UPAL, UPAL SEM V GOSPODA - Ps 39 (40) | 13 roles | 40 verses | E, F, a, e
SL - 092 - JAZ BOM PEL - Ps 56 (57).chordpro | JAZ BOM PEL - Ps 56 (57) | 13 roles | 33 verses | A, D, G, e, fis
SL - 093 - ZAKAJ SE LJUDSTVA UPIRAJO - Ps 2.chordpro | ZAKAJ SE LJUDSTVA UPIRAJO? - Ps 2 | 6 roles | 33 verses | H7, a, e
SL - 094 - KAKOR KOŠUTA HREPENI - Ps 41-42 (42-43).chordpro | KAKOR KOŠUTA HREPENI - Ps 41-42 (42-43) | 5 roles | 31 verses | A, A7, D, FIS, G, GIS, H7, e, h
SL - 095 - PRITRJUJTE GOSPODU - Ps 99 (100).chordpro | PRITRJUJTE GOSPODU - Ps 99 (100) | 9 roles | 14 verses | A7, F, G, d, e, g
SL - 096 - VRISKAJTE IN POJTE (Iz 12,1 sl).chordpro | VRISKAJTE IN POJTE (Iz 12,1 sl) | 7 roles | 19 verses | E, F, G, a
SL - 097 - KO SE ZBUDIM - Ps 16 (17).chordpro | KO SE ZBUDIM * - Ps 16 (17) | 9 roles | 42 verses | E, F, a, d
SL - 098 - PESEM OTROK MED VELIKONOČNO VIGILIJO.chordpro | PESEM OTROK MED VELIKONOČNO VIGILIJO | 22 roles | 42 verses | E, a, d
SL - 099 - NE BOM UMRL, AMPAK ŽIVEL - Ps 117 (118).chordpro | NE BOM UMRL, AMPAK ŽIVEL - Ps 117 (118) | 71 roles | 99 verses | C, G, H, H7, e
SL - 100 - RECITE NJIM, KI SO OBUPANEGA SRCA (Iz 35,4-10).chordpro | RECITE NJIM, KI SO OBUPANEGA SRCA (Iz 35,4-10) | 8 roles | 22 verses | C, E, F, a, d, e
SL - 101 - O BOG, TI SI MOJ BOG - Ps 62 (63).chordpro | O BOG, TI SI MOJ BOG - Ps 62 (63) | 9 roles | 23 verses | E, F, a, d
SL - 102 - BOG SE DVIGA MED VZKLIKI - Ps 46 (47).chordpro | BOG SE DVIGA MED VZKLIKI - Ps 46 (47) | 5 roles | 14 verses | a, d
SL - 103 - LJUDSTVO, KI JE HODILO V TEMI (Iz 9,1-5).chordpro | LJUDSTVO, KI JE HODILO V TEMI (Iz 9,1-5) | 4 roles | 25 verses | C, F, G, GIS, a
SL - 104 - HVALI GOSPODA - Ps 145 (146).chordpro | HVALI GOSPODA - Ps 145 (146) | 9 roles | 22 verses | C, D, G, H7, e, h
SL - 105 - BILEAMOVA PESEM (4 Mz 23,7-24).chordpro | BILEAMOVA PESEM (4 Mz 23,7-24) | 8 roles | 37 verses | D, G, e, h
SL - 106 - VPRIČO ANGELOV - Ps 137 (138).chordpro | VPRIČO ANGELOV - Ps 137 (138) | 9 roles | 27 verses | C, E, F, G, d
SL - 107 - KO JE BIL IZRAEL OTROK (Oz 11,1-11).chordpro | KO JE BIL IZRAEL OTROK (Oz 11,1-11) | 10 roles | 22 verses | B, C, F, d, g
SL - 108 - TO JE GOSPODOVA PASHA.chordpro | TO JE GOSPODOVA PASHA | 9 roles | 17 verses | E, G, a
SL - 109 - VSAKA STVAR IMA SVOJ ČAS (Prid 3,1-15).chordpro | VSAKA STVAR IMA SVOJ ČAS (Prid 3,1-15) | 8 roles | 34 verses | C, E7, F, a, d, e
SL - 110 - BLAGOSLAVLJAJ, MOJA DUŠA, GOSPODA - Tobijev hvalospev (Tob 13).chordpro | BLAGOSLAVLJAJ, MOJA DUŠA, GOSPODA - Tobijev hvalospev (Tob 13) * | 8 roles | 43 verses | G, a
SL - 111 - KAKO LJUBA SO TVOJA BIVALIŠČA - Ps 83 (84).chordpro | KAKO LJUBA SO TVOJA BIVALIŠČA - Ps 83 (84) | 5 roles | 27 verses | C, F, G, a, e
SL - 112 - GOSPOD PRIHAJA, OBLEČEN V VELIČANSTVO - Ps 92 (93).chordpro | GOSPOD PRIHAJA, OBLEČEN V VELIČANSTVO - Ps 92 (93) | 7 roles | 18 verses | d, g
SL - 113 - DAN POČITKA IN SVETOSTI.chordpro | DAN POČITKA IN SVETOSTI | 8 roles | 14 verses | a, e
SL - 114 - TOLAŽITE MOJE LJUDSTVO (Iz 40,1-11).chordpro | TOLAŽITE MOJE LJUDSTVO (Iz 40,1-11) | 6 roles | 19 verses | A, G, H7, a, e
SL - 115 - ANGELA DVA STA BILA.chordpro | ANGELA DVA STA BILA | 4 roles | 14 verses | E, a, d
SL - 116 - LJUBIM GOSPODA - Ps 114 - 115 (116).chordpro | LJUBIM GOSPODA - Ps 114 - 115 (116) | 4 roles | 29 verses | C, D, D7, G, a, h
SL - 117 - PRIDITE K MENI VI VSI (Mt 11,28-30).chordpro | PRIDITE K MENI VI VSI (Mt 11,28-30) | 2 roles | 14 verses | C, E, F, a
SL - 118 - TEBI, GOSPOD, GRE HVALOSPEV NA SIONU - Ps 64 (65).chordpro | TEBI, GOSPOD, GRE HVALOSPEV NA SIONU - Ps 64 (65) | 6 roles | 23 verses | A, A7, B, d, g
SL - 119 - ČE H GOSPODU SE ZATEKAM - Ps 10 (11).chordpro | ČE H GOSPODU SE ZATEKAM - Ps 10 (11) | 3 roles | 25 verses | C, C7, G, H, H7, a, e
SL - 120 - GOSPOD OZNANJA NOVICO - Ps 67 (68).chordpro | GOSPOD OZNANJA NOVICO - Ps 67 (68) | 5 roles | 21 verses | A, G, a, e, h
SL - 121 - BLAGOSLAVLJAJTE GOSPODA, ALELUJA - Ps 133 (134).chordpro | BLAGOSLAVLJAJTE GOSPODA, ALELUJA - Ps 133 (134) | 2 roles | 16 verses | C, H7, e
SL - 122 - HČERE JERUZALEMSKE (Lk 23,28.31.34.43.46).chordpro | HČERE JERUZALEMSKE (Lk 23,28.31.34.43.46) | 9 roles | 17 verses | E, F, G, a
SL - 123 - RAZKRIL SEM TI SVOJ GREH - Ps 31 (32).chordpro | RAZKRIL SEM TI SVOJ GREH - Ps 31 (32) | 3 roles | 22 verses | G, a, d
SL - 124 - MARIJA, MATI CERKVE (Jn 19,26-34).chordpro | MARIJA, MATI CERKVE (Jn 19,26-34) | 3 roles | 45 verses | E, F, G, a, d
SL - 125 - STABAT MATER DOLOROSA.chordpro | STABAT MATER DOLOROSA | 7 roles | 32 verses | A7, B, B7, d
SL - 126 - GOSPODOVA TOŽBA - O MOJE LJUDSTVO.chordpro | GOSPODOVA TOŽBA - O MOJE LJUDSTVO | 10 roles | 25 verses | H7, a, e
SL - 127 - O GOSPOD, NAŠ BOG - Ps 8.chordpro | O GOSPOD, NAŠ BOG - Ps 8 | 2 roles | 15 verses | C, G, H7, a, e
SL - 128 - BLAGOSLOVLJENA SI TI, MARIJA - Elizabetin spev (Lk 1,42-44).chordpro | BLAGOSLOVLJENA SI TI, MARIJA - Elizabetin spev (Lk 1,42-44) | 4 roles | 13 verses | E, F, G, a, d
SL - 129 - ZDRAVA, O NEBES KRALJICA.chordpro | ZDRAVA, O NEBES KRALJICA | 4 roles | 19 verses | E, E7, F, G, a, d
SL - 130 - DEVICA ČUDOVITEGA.chordpro | DEVICA ČUDOVITEGA | 7 roles | 25 verses | E, F, a, d
SL - 131 - MARIJA, HIŠA BLAGOSLOVA.chordpro | MARIJA, HIŠA BLAGOSLOVA | 5 roles | 19 verses | E, F, G, a, d
SL - 132 - BLAGOSLAVLJAL BOM GOSPODA V VSAKEM ČASU - Ps 33 (34).chordpro | BLAGOSLAVLJAL BOM GOSPODA V VSAKEM ČASU - Ps 33 (34) | 5 roles | 21 verses | A, B, C, d
SL - 133 - ŽETEV NARODOV (Jn 4,31-38).chordpro | ŽETEV NARODOV (Jn 4,31-38) | 6 roles | 24 verses | C, D, H7, a, e, eH7
SL - 134 - GOSPOD GOVORI MOJEMU GOSPODU - Ps 109 (110).chordpro | GOSPOD GOVORI MOJEMU GOSPODU - Ps 109 (110) | 6 roles | 29 verses | C, E, F, G, G7, a
SL - 135 - SREČEN ČLOVEK - Ps 1.chordpro | SREČEN ČLOVEK - Ps 1 | 9 roles | 25 verses | E, F, G, a
SL - 136 - TI SI NAJLEPŠI - Ps 44 (45).chordpro | TI SI NAJLEPŠI - Ps 44 (45) | 8 roles | 30 verses | A, B, C, F, d, g
SL - 137 - SREČA ČLOVEKU - Ps 127 (128).chordpro | SREČA ČLOVEKU - Ps 127 (128) | 2 roles | 13 verses | E, F, a, d
SL - 138 - VZDIGNE SE BOG - Ps 67 (68,2.4-7).chordpro | VZDIGNE SE BOG - Ps 67 (68,2.4-7) | 1 roles | 14 verses | E
SL - 139 - POJDIMO ZDAJ, PASTIRJI.chordpro | POJDIMO ZDAJ, PASTIRJI | 6 roles | 14 verses | H7, a, e
SL - 140 - MARIA DI JASNA GORA.chordpro | MARIA DI JASNA GORA | 4 roles | 16 verses | A, d, g
SL - 141 - K TEBI, GOSPOD, GLASNO KLIČEM NA POMOČ - Ps 141 (142).chordpro | K TEBI, GOSPOD, GLASNO KLIČEM NA POMOČ - Ps 141 (142) | 4 roles | 24 verses | E, E7, F, G, a, d
SL - 142 - MLADIKA POŽENE IZ JESEJEVEGA RODU (Iz 11).chordpro | MLADIKA POŽENE IZ JESEJEVEGA RODU (Iz 11) | 6 roles | 33 verses | C, D, G, H7, a, e
SL - 143 - K TEBI, GOSPOD, DVIGAM SVOJO DUŠO - Ps 24 (25).chordpro | K TEBI, GOSPOD, DVIGAM SVOJO DUŠO - Ps 24 (25) | 2 roles | 16 verses | E, F, a, d
SL - 144 - KLIČEM TE, GOSPOD - Ps 140 (141).chordpro | KLIČEM TE, GOSPOD - Ps 140 (141) | 2 roles | 23 verses | C, D, G, H7, a, e
SL - 145 - K TEBI DVIGAM SVOJE OČI - Ps 123 (122).chordpro | K TEBI DVIGAM SVOJE OČI - Ps 123 (122) | 2 roles | 25 verses | A, A7, B, d, g
SL - 146 - GOSPOD, NE KAZNUJ ME V SVOJI JEZI - Ps 6.chordpro | GOSPOD, NE KAZNUJ ME V SVOJI JEZI - Ps 6 | 6 roles | 24 verses | A, FIS, G, e, h
SL - 147 - SLAVA, SLAVA, SLAVA (Iz 66,18 sl).chordpro | SLAVA, SLAVA, SLAVA (Iz 66,18 sl) | 9 roles | 31 verses | A, E, FIS, GIS, H, H7, cis
SL - 148 - RADUJTE SE, PRAVIČNI, V GOSPODU - Ps 32.chordpro | RADUJTE SE, PRAVIČNI, V GOSPODU - Ps 32 | 2 roles | 18 verses | C, D, G, H, H7, a
SL - 149 - MNOGO SO ME PREGANJALI - Ps 128.chordpro | MNOGO SO ME PREGANJALI - Ps 128 | 3 roles | 30 verses | A7, d
SL - 150 - VALOVI SMRTI SO ME OBDAJALI - Ps 18.chordpro | VALOVI SMRTI SO ME OBDAJALI - Ps 18 | 1 roles | 19 verses | C, E, F, G, a
