# SL Parsing Summary Log
# Generated: 2025-08-27 11:43:49
# Timestamp: 20250827_114349
# Format: FILENAME | TITLE | VERSES | CHORDS
--------------------------------------------------------------------------------
SL - 140 - MARIA DI JASNA GORA.chordpro | MARIA DI JASNA GORA | 4 verses | A, d, g
SL - 141 - K TEBI, GOSPOD, GLASNO KLIÈEM NA POMOÈ - Ps 141 (142).chordpro | K TEBI, GOSPOD, GLASNO KLIÈEM NA POMOÈ - Ps 141 (142) | 4 verses | E, E7, F, G, a, d
SL - 142 - MLADIKA POŽENE IZ JESEJEVEGA RODU (Iz 11).chordpro | MLADIKA POŽENE IZ JESEJEVEGA RODU (Iz 11) | 6 verses | C, D, G, H7, a, e
SL - 143 - K TEBI, GOSPOD, DVIGAM SVOJO DUŠO - Ps 24 (25).chordpro | K TEBI, GOSPOD, DVIGAM SVOJO DUŠO - Ps 24 (25) | 2 verses | E, F, a, d
SL - 144 - KLIÈEM TE, GOSPOD - Ps 140 (141).chordpro | KLIÈEM TE, GOSPOD - Ps 140 (141) | 2 verses | C, D, G, H7, a, e
SL - 145 - K TEBI DVIGAM SVOJE OÈI - Ps 123 (122).chordpro | K TEBI DVIGAM SVOJE OÈI - Ps 123 (122) | 2 verses | A, A7, B, d, g
SL - 146 - GOSPOD, NE KAZNUJ ME V SVOJI JEZI - Ps 6.chordpro | GOSPOD, NE KAZNUJ ME V SVOJI JEZI - Ps 6 | 6 verses | A, FIS, G, e, h
SL - 147 - SLAVA, SLAVA, SLAVA (Iz 66,18 sl).chordpro | SLAVA, SLAVA, SLAVA (Iz 66,18 sl) | 9 verses | A, E, FIS, GIS, H, H7, cis
SL - 148 - RADUJTE SE, PRAVIÈNI, V GOSPODU - Ps 32.chordpro | RADUJTE SE, PRAVIÈNI, V GOSPODU - Ps 32 | 2 verses | C, D, G, H, H7, a
SL - 149 - MNOGO SO ME PREGANJALI - Ps 128.chordpro | MNOGO SO ME PREGANJALI - Ps 128 | 3 verses | A7, d
SL - 150 - VALOVI SMRTI SO ME OBDAJALI - Ps 18.chordpro | VALOVI SMRTI SO ME OBDAJALI - Ps 18 | 1 verses | C, E, F, G, a
SL - 151 - MARIJA, MATI GOREÈE POTI.chordpro | MARIJA, MATI GOREÈE POTI | 4 verses | A, C, D, G, e
SL - 152 - ŠLOM LEH MARIAM.chordpro | ŠLOM LEH MARIAM | 7 verses | C, H7, a, e
SL - 153 - POJDITE IN OZNANITE MOJIM BRATOM (Mt 28,16-20).chordpro | POJDITE IN OZNANITE MOJIM BRATOM (Mt 28,16-20) | 3 verses | C, E, F, G, a, d
SL - 154 - POKAZAL MI BOŠ POT ŽIVLJENJA - Ps 15 (16).chordpro | POKAZAL MI BOŠ POT ŽIVLJENJA - Ps 15 (16) | 6 verses | E, F, a, d
SL - 155 - O BOG, S SVOJIM IMENOM REŠI ME - Ps 53 (54).chordpro | O BOG, S SVOJIM IMENOM REŠI ME - Ps 53 (54) | 4 verses | A, A7, B, B7, C, E, F7, a, d, g
SL - 156 - GOSPOD, POSLUŠAJ MOJO MOLITEV - Ps 142 (143).chordpro | GOSPOD, POSLUŠAJ MOJO MOLITEV - Ps 142 (143) | 7 verses | C, D, D7, c, g
SL - 157 - NEUMNEŽ MISLI, DA NI BOGA - Ps 13 (14).chordpro | NEUMNEŽ MISLI, DA NI BOGA - Ps 13 (14) | 5 verses | A, A7, B, C, F, a, d, g
SL - 158 - NI GA TUKAJ (Mt 28,1-7).chordpro | NI GA TUKAJ (Mt 28,1-7) | 3 verses | C, D7, E, F, G, c, d, g
SL - 159 - VZAMEM VAS IZMED NARODOV (Ez 36,24-28).chordpro | VZAMEM VAS IZMED NARODOV (Ez 36,24-28) | 2 verses | A, B, D7, d, g
SL - 160 - VI STE LUÈ SVETA (Mt 5,14-16).chordpro | VI STE LUÈ SVETA (Mt 5,14-16) | 1 verses | A, A7, B, F, d, g
SL - 161 - SAMA S SAMIM.chordpro | SAMA S SAMIM | 2 verses | A, A7, B, C, F, d, g
