# HR Parsing Summary Log
# Generated: 2025-08-27 11:53:38
# Timestamp: 20250827_115338
# Format: FILENAME | TITLE | VERSES | CHORDS
--------------------------------------------------------------------------------
📊 Processing Summary:
   ✅ Processed: 224 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\hr\04_chordpro
--------------------------------------------------------------------------------
HR - 142 - TEBI, GOSPODINE, SVOJIM GLASOM VAPIJEM - Ps 141 (142).chordpro | TEBI, GOSPODINE, SVOJIM GLASOM VAPIJEM - Ps 141 (142) | 6 verses | E, E7, F, G, a, d
HR - 143 - JEDNA MLADICA KLIJA IZ PANJA JIŠAJEVA (Iz 11).chordpro | JEDNA MLADICA KLIJA IZ PANJA JIŠAJEVA (Iz 11) | 7 verses | C, D, G, H7, a, e
HR - 144 - K TEBI, GOSPODINE, UZDIŽEM SVOJU DUŠU - Ps 24 (25).chordpro | K TEBI, GOSPODINE, UZDIŽEM SVOJU DUŠU - Ps 24 (25) | 5 verses | E, F, a, d
HR - 145 - PRIZIVLJEM TE - Ps 140 (141).chordpro | PRIZIVLJEM TE - Ps 140 (141) | 5 verses | C, D, G, H7, a, e
HR - 146 - K TEBI UZDIŽEM SVOJE OČI - Ps 123 (122).chordpro | K TEBI UZDIŽEM SVOJE OČI - Ps 123 (122) | 4 verses | A, A7, B, d, g
HR - 147 - GOSPODINE, NEMOJ ME KAZNITI - Ps 6.chordpro | GOSPODINE, NEMOJ ME KAZNITI - Ps 6 | 9 verses | A, FIS, G, e, h
HR - 148 - SLAVA, SLAVA, SLAVA (Iz 66, 18 ss).chordpro | SLAVA, SLAVA, SLAVA (Iz 66, 18 ss) | 11 verses | A, E, FIS, GIS, H, H7, cis
HR - 149 - USKLIKNITE, PRAVEDNICI U GOSPODINU - Ps 32.chordpro | USKLIKNITE, PRAVEDNICI U GOSPODINU - Ps 32 | 5 verses | C, D, G, H7, a, e
HR - 150 - MNOGO SU ME PROGANJALI - Ps 128.chordpro | MNOGO SU ME PROGANJALI - Ps 128 | 7 verses | A7, d
HR - 151 - LJUBIM TE, GOSPODINE - Ps 18.chordpro | LJUBIM TE, GOSPODINE - Ps 18 | 5 verses | A, D, FIS, G, h
HR - 152 - MARIJO, MAJKO GORUĆEG PUTA.chordpro | MARIJO, MAJKO GORUĆEG PUTA | 4 verses | A, C, D, G, e
HR - 153 - SHLOM LECH MARIAM.chordpro | SHLOM LECH MARIAM | 7 verses | C, G, H7, a, e
HR - 154 - IDITE I NAVIJESTITE MOJOJ BRAĆI (Mt 28,16-20).chordpro | IDITE I NAVIJESTITE MOJOJ BRAĆI (Mt 28,16-20) | 7 verses | C, E, F, G, a, d
HR - 155 - POKAZAT ĆEŠ MI STAZU ŽIVOTA - Ps 15 (16).chordpro | POKAZAT ĆEŠ MI STAZU ŽIVOTA - Ps 15 (16) | 6 verses | E, F, a, d
HR - 156 - O BOŽE, PO SVOJEM IMENU - Ps 53 (54).chordpro | O BOŽE, PO SVOJEM IMENU - Ps 53 (54) | 4 verses | A, A7, B, B7, C, E, F7, a, d, g
HR - 157 - BEZUMNIK MISLI DA NEMA BOGA - Ps 13 (14).chordpro | BEZUMNIK MISLI DA NEMA BOGA - Ps 13 (14) | 6 verses | A, A7, B, C, F, a, d, g
HR - 158 - GOSPODINE, POSLUŠAJ MOJU MOLITVU - Ps 142 (143).chordpro | GOSPODINE, POSLUŠAJ MOJU MOLITVU - Ps 142 (143) | 10 verses | C, D, D7, c, g
HR - 159 - NIJE OVDJE (Mt 28, 1 - 7) ().chordpro | NIJE OVDJE (Mt 28, 1 - 7) (*) | 6 verses | C, D, D7, E, F, G, c, d, g
HR - 160 - UZET ĆU VAS IZ NARODA (Ez 36, 24 - 28).chordpro | UZET ĆU VAS IZ NARODA (Ez 36, 24 - 28) | 5 verses | A, B, D7, d, g
HR - 161 - VI STE SVJETLO SVIJETA (Mt 5, 14 - 16).chordpro | VI STE SVJETLO SVIJETA (Mt 5, 14 - 16) | 3 verses | A, A7, B, F, d, g
HR - 162 - SAMA SA SAMIM.chordpro | SAMA SA SAMIM | 2 verses | A, A7, B, C, F, d, g
